0,4,8,9,25,26,27,31,32,33,37,38,45,-1,-1,-1,-1,-1,-1,0,0,0,0,11,0
1,3,6,11,7,12,17,18,21,34,35,36,50,0,11,-1,-1,-1,-1,1,0,0,0,25,12
2,5,10,15,20,23,24,39,40,43,44,49,51,0,11,12,25,-1,-1,2,0,0,0,2,10
13,14,16,19,22,28,29,30,41,42,46,47,48,0,11,12,25,10,2,3,0,0,0,14,30
1,3,6,11,7,17,18,21,34,35,36,50,-1,-1,-1,-1,-1,-1,-1,3,0,1,0,25,21
2,5,15,20,23,24,39,40,43,44,49,51,-1,21,25,-1,-1,-1,-1,3,1,1,0,2,20
13,14,16,19,22,28,29,41,42,46,47,48,-1,21,25,20,2,-1,-1,3,2,1,0,14,22
4,8,9,25,26,27,31,32,33,37,38,45,-1,21,25,20,2,22,14,3,3,1,0,11,25
4,8,9,26,27,31,32,33,37,38,45,-1,-1,-1,-1,-1,-1,-1,-1,3,4,1,0,11,27
1,3,6,11,7,17,18,34,35,36,50,-1,-1,27,11,-1,-1,-1,-1,3,4,2,0,25,36
2,5,15,23,24,39,40,43,44,49,51,-1,-1,27,11,36,25,-1,-1,3,4,3,0,2,23
13,14,16,19,28,29,41,42,46,47,48,-1,-1,27,11,36,25,23,2,3,5,3,0,14,29
1,3,6,11,7,17,18,34,35,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,4,0,25,35
2,5,15,24,39,40,43,44,49,51,-1,-1,-1,35,25,-1,-1,-1,-1,3,5,5,0,2,44
13,14,16,19,28,41,42,46,47,48,-1,-1,-1,35,25,44,2,-1,-1,3,5,5,1,14,28
4,8,9,26,31,32,33,37,38,45,-1,-1,-1,35,25,44,2,28,14,3,5,6,1,11,38
4,8,9,26,31,32,33,37,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,7,1,11,26
1,3,6,11,7,17,18,34,50,-1,-1,-1,-1,26,11,-1,-1,-1,-1,3,5,8,1,25,34
2,5,15,24,39,40,43,49,51,-1,-1,-1,-1,26,11,34,25,-1,-1,3,5,9,1,2,24
13,14,16,19,41,42,46,47,48,-1,-1,-1,-1,26,11,34,25,24,2,3,6,9,1,14,48
1,3,6,11,7,17,18,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,9,2,25,18
2,5,15,39,40,43,49,51,-1,-1,-1,-1,-1,18,25,-1,-1,-1,-1,3,7,9,2,2,15
13,14,16,19,41,42,46,47,-1,-1,-1,-1,-1,18,25,15,2,-1,-1,3,8,9,2,14,16
4,8,9,31,32,33,37,45,-1,-1,-1,-1,-1,18,25,15,2,16,14,3,9,9,2,11,45
1,3,6,11,7,17,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,9,9,3,25,17
2,5,39,40,43,49,51,-1,-1,-1,-1,-1,-1,17,25,-1,-1,-1,-1,3,10,9,3,2,51
13,14,19,41,42,46,47,-1,-1,-1,-1,-1,-1,17,25,51,2,-1,-1,3,10,9,4,14,14
4,8,9,31,32,33,37,-1,-1,-1,-1,-1,-1,17,25,51,2,14,14,3,11,9,4,11,9
1,3,6,11,7,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,11,9,4,25,1
2,5,39,40,43,49,-1,-1,-1,-1,-1,-1,-1,1,25,-1,-1,-1,-1,5,11,9,4,2,5
13,19,41,42,46,47,-1,-1,-1,-1,-1,-1,-1,1,25,5,2,-1,-1,6,11,9,4,14,47
4,8,31,32,33,37,-1,-1,-1,-1,-1,-1,-1,1,25,5,2,47,14,6,11,9,5,11,4
2,39,40,43,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,11,9,5,2,40
13,19,41,42,46,-1,-1,-1,-1,-1,-1,-1,-1,40,2,-1,-1,-1,-1,7,11,9,6,14,41
8,31,32,33,37,-1,-1,-1,-1,-1,-1,-1,-1,40,2,41,14,-1,-1,7,11,9,7,11,8
3,6,11,7,50,-1,-1,-1,-1,-1,-1,-1,-1,40,2,41,14,8,11,8,11,9,7,25,50
3,6,11,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,11,9,8,25,3
2,39,43,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,25,-1,-1,-1,-1,9,11,9,8,2,2
13,19,42,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,25,2,2,-1,-1,10,11,9,8,14,46
31,32,33,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,25,2,2,46,14,10,11,9,9,11,37
6,11,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,11,10,9,25,6
39,43,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,25,-1,-1,-1,-1,11,11,10,9,2,49
13,19,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,25,49,2,-1,-1,11,11,10,10,14,42
31,32,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,25,49,2,42,14,11,11,10,11,11,33
11,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11,25,7
39,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,25,-1,-1,-1,-1,12,11,11,11,2,43
13,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,25,43,2,-1,-1,12,11,11,12,14,19
31,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,25,43,2,19,14,12,12,11,12,11,32
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,12,12,12,25,11
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,25,-1,-1,-1,-1,13,12,12,12,2,39
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,25,39,2,-1,-1,13,12,12,13,14,13
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,25,39,2,13,14,13,13,12,13,11,31
